Messzeit,Produktion (kW),Ins Gebäude (kW),Ins Netz (kW),Zum Speicher (kW),Verbrauch (kW),Aus PV-Energie (kW),Vom Netz (kW),Vom Speicher (kW)
2026-06-21 00:00:00,0.23139548,0.4537989999999999,0.0044959793,0.0,0.4537989999999999,0.23139548,0.0,0.2268994999999999
2026-06-21 00:15:00,0.23524846,0.4675619265999999,0.003056554,0.0,0.4675619265999999,0.23524846,0.0015890566,0.23219191
2026-06-21 00:30:00,0.2469653299999999,0.4908075,0.0015615793,0.0,0.4908075,0.2469653299999999,0.0,0.24540375
2026-06-21 00:45:00,0.16848193,0.33219894,0.0023824642,0.0,0.33219894,0.16848193,0.0,0.16609947
2026-06-21 01:00:00,0.24275737,0.48019308,0.002660823,0.0,0.48019308,0.24275737,0.0,0.24009654
2026-06-21 01:15:00,0.24846504,0.4942898599999999,0.0013201071,0.0,0.4942898599999999,0.24846504,0.0,0.2471449299999999
2026-06-21 01:30:00,0.1951144,0.3936261245,0.00069947624,0.0,0.3936261245,0.1951144,0.0023981445,0.19441492
2026-06-21 01:45:00,0.3656695,0.8220133040000001,0.0,0.0,0.8220133040000001,0.3656695,0.045337154,0.3656695
2026-06-21 02:00:00,0.2664176299999999,0.53283050188,0.00036496988,0.0,0.53283050188,0.2664176299999999,0.00036258188,0.26605267
2026-06-21 02:15:00,0.29291553,0.5866374536000001,0.00073785657,0.0,0.5866374536000001,0.29291553,0.0011410536,0.29217767
2026-06-21 02:30:00,0.25732535,0.50900171593,0.0032197722999999,0.0,0.50900171593,0.25732535,0.00039528593,0.25410558
2026-06-21 02:45:00,0.29588098,0.58896974325,0.0017763214,0.0,0.58896974325,0.29588098,0.00038020325,0.2941046799999999
2026-06-21 03:00:00,0.31441058,0.6303488785,0.0013017349,0.0,0.6303488785,0.31441058,0.0020655785,0.31310886
2026-06-21 03:15:00,0.2361304199999999,0.4765804384,0.00029075113,0.0,0.4765804384,0.2361304199999999,0.0024505584,0.23583966
2026-06-21 03:30:00,0.16169507,0.32045096074,0.00202048,0.0,0.32045096074,0.16169507,0.00055089074,0.15967459
2026-06-21 03:45:00,0.22052847,0.44000981585,0.0010754999,0.0,0.44000981585,0.22052847,0.00055193585,0.21945297
2026-06-21 04:00:00,0.25711237,0.523836128,0.0,0.0,0.523836128,0.25711237,0.004805698,0.25711237
2026-06-21 04:15:00,0.1658657,0.32575898,0.0029862205999999,0.0,0.32575898,0.1658657,0.0,0.16287949
2026-06-21 04:30:00,0.1717704,0.34146626254,0.0015811415,0.0,0.34146626254,0.1717704,0.0005438725399999,0.17018925
2026-06-21 04:45:00,0.1916644599999999,0.3772176,0.0030556583,0.0,0.3772176,0.1916644599999999,0.0,0.1886088
2026-06-21 05:00:00,0.25847675,0.51222619245,0.0028147838,0.0,0.51222619245,0.25847675,0.00045113245,0.2556619599999999
2026-06-21 05:15:00,0.19132704,0.3850045876,0.0005210240499999,0.0,0.3850045876,0.19132704,0.0016962776,0.19080602
2026-06-21 05:30:00,0.12985526,0.277750876,0.00041111436,0.0,0.277750876,0.12985526,0.009431296,0.12944414
2026-06-21 05:45:00,0.2686766,0.544994304,0.0,0.0,0.544994304,0.2686766,0.003820544,0.2686766
2026-06-21 06:00:00,0.2410919299999999,0.4872450757,0.0005502933,0.0,0.4872450757,0.2410919299999999,0.0030808957,0.24054164
